place_id,place_name_ko,address_ko,category_code,image_main_path
P001,순천만국가정원 및 습지,전라남도 순천시 국가정원1호길 47,attraction,
P002,순천 대원식당 (남도 한정식),전라남도 순천시 장천3길 13-11,restaurant,
P003,순천 드라마촬영장,전라남도 순천시 비례골길 37,cultural_space,
P004,순천 브루웍스 (복합문화카페),전라남도 순천시 역전길 61,cafe,
P005,여수 아쿠아플라넷 여수,전라남도 여수시 오동도로 61-11,cultural_space,
P006,여수 오동도,전라남도 여수시 수정동 산소서로,attraction,
P007,여수 게장거리 명동게장,전라남도 여수시 봉산남4길 23,restaurant,
P008,여수 이순신광장 및 거북선,전라남도 여수시 중앙동 385,attraction,
P009,여수 모이핀 (오션뷰 대형카페),전라남도 여수시 돌산읍 무술목길 50,cafe,
P010,담양 죽녹원,전라남도 담양군 담양읍 죽향문화로 365,attraction,
P011,담양 진우네국수 (국수거리),전라남도 담양군 담양읍 객사리 211-3,restaurant,
P012,담양 메타세쿼이아길,전라남도 담양군 담양읍 메타세쿼이아로 12,attraction,
P013,담양 딜라이트 담양 (미디어아트),전라남도 담양군 담양읍 죽향문화로 35,cultural_space,
P014,담양 서가앤디저트 (한옥 카페),전라남도 담양군 담양읍 향교길 6-1,cafe,
P015,목포 근대역사관 1관,전라남도 목포시 영산로29번길 6,cultural_space,
P016,목포 유달산 자락정원,전라남도 목포시 죽교동 산 27-3,attraction,
P017,목포 선창횟집 (민어회·낙지),전라남도 목포시 해안로 237,restaurant,
P018,목포해상케이블카 (북항승강장),전라남도 목포시 해양대학로 240,attraction,
P019,목포 쑥꿀레 (향토 간식),전라남도 목포시 영산로74번길 22,restaurant,
P020,나주목 관아와 향교,전라남도 나주시 나주로 12,cultural_space,
P021,나주 하얀집 (나주곰탕 본점),전라남도 나주시 금성관길 13,restaurant,
P022,나주 국립나주박물관,전라남도 나주시 반남면 고분로 747,cultural_space,
P023,나주 빛가람호수공원,전라남도 나주시 빛가람동 820,attraction,
P024,나주 느티나무카페 (빛가람호수뷰),전라남도 나주시 빛가람로 667,cafe,
P025,구례 지리산 화엄사,전라남도 구례군 마산면 화엄사로 539,attraction,
P026,구례 평화식당 (육회비빔밥),전라남도 구례군 구례읍 봉서길 9,restaurant,
P027,구례 사성암,전라남도 구례군 문척면 사성암길 303,attraction,
P028,구례 섬진강 수달생태공원,전라남도 구례군 간전면 섬진강로 3254,cultural_space,
P029,구례 무우루 (기와집 카페),전라남도 구례군 토지면 토지문학로 34,cafe,
P030,순창 강천산군립공원,전라북도 순창군 구림면 강천로 97,attraction,
P031,순창 전통순대집 (순창시장),전라북도 순창군 순창읍 장수길 20-1,restaurant,
P032,순창 고추장민속마을,전라북도 순창군 순창읍 민속마을길 5-13,cultural_space,
P033,순창 채계산 출렁다리,전라북도 순창군 적성면 마실로 1216,attraction,
P034,순창 화수목카페 (정원 카페),전라북도 순창군 순창읍 경천로 63-8,cafe,
P035,전남광주통합특별시청 야외광장,광주광역시 서구 내방로 111,attraction,
P036,광주 acc 국립아시아문화전당,전남광주 동구 광산동 113,cultural_space,
P037,담양 담빛예술창고,전라남도 담양군 담양읍 객사리 242-1,cultural_space,
P038,담양 카페진우네,전라남도 담양군 담양읍 객사리 213,cafe,
P039,여수 진남횟집 (돌문어삼합),전라남도 여수시 돌산읍 돌산로 3415,restaurant,
P040,순천 낙안읍성,전라남도 순천시 낙안읍성 민속마을,attraction,
P041,순천 뿌리깊은나무박물관,전라남도 순천시 낙안면 민속마을길 45,cultural_space,
P042,순천 선암사 토담카페 (전통찻집),전라남도 순천시 승주읍 선암사길 450,cafe,
P043,목포 자연사박물관,전라남도 목포시 남농로 135,cultural_space,
P044,목포 코롬바스빵집 (제과 카페),전라남도 목포시 영산로75번길 7,cafe,
P045,나주 송현불고기,전라남도 나주시 영산포로 172-1,restaurant,
P046,나주 영상테마파크,전라남도 나주시 공산면 덕음로 450,attraction,
P047,담양 담양창평국밥,전라남도 담양군 창평면 시장길 14,restaurant,
