카테고리,이름,주소
관광명소,순천만국가정원 및 습지,전라남도 순천시 국가정원1호길 47
관광명소,여수 오동도 유람선,전라남도 여수시 수정동 332-23
관광명소,담양 죽녹원,전라남도 담양군 담양읍 죽향문화로 365
관광명소,목포해상케이블카 (북항승강장),전라남도 목포시 해양대학로 240
관광명소,구례 지리산 화엄사,전라남도 구례군 마산면 화엄사로 539
관광명소,나주 빛가람호수공원,전라남도 나주시 빛가람동 820
관광명소,전남광주통합특별시청 야외광장,광주광역시 서구 내방로 111
관광명소,담양 메타세쿼이아길,전라남도 담양군 담양읍 메타세쿼이아로 12
관광명소,순천 낙안읍성,전라남도 순천시 낙안읍성 민속마을
관광명소,목포 유달산 조각공원,전라남도 목포시 죽교동 506-58
관광명소,구례 사성암,전라남도 구례군 문척면 사성암길 303
관광명소,나주 영상테마파크,전라남도 나주시 공산면 덕음로 450
관광명소,여수 이순신광장 및 거북선,전라남도 여수시 중앙동 385
맛집,나주 하얀집 (나주곰탕 본점),전라남도 나주시 금성관길 13
맛집,담양 진우네국수 (국수거리),전라남도 담양군 담양읍 객사리 211-3
맛집,여수 진남횟집 (돌문어삼합),전라남도 여수시 돌산읍 돌산로 3415
맛집,목포 쑥꿀레 (향토 간식),전라남도 목포시 영산로74번길 22
맛집,구례 평화식당 (육회비빔밥),전라남도 구례군 구례읍 봉서길 9
맛집,순천 대원식당 (남도 한정식),전라남도 순천시 장천3길 13-11
맛집,나주 송현불고기,전라남도 나주시 영산포로 172-1
맛집,담양 담양창평국밥,전라남도 담양군 창평면 시장길 14
맛집,여수 게장거리 명동게장,전라남도 여수시 봉산남4길 23
맛집,목포 선창횟집 (민어회·낙지),전라남도 목포시 해안로 237
맛집,구례 목월빵집 (천연발효빵),전라남도 구례군 구례읍 선혜족정길 24
맛집,순천 풍미통닭 (마늘통닭),전라남도 순천시 성남로 4
카페,여수 모이핀 (오션뷰 대형카페),전라남도 여수시 돌산읍 무술목길 50
카페,순천 브루웍스 (복합문화카페),전라남도 순천시 역전길 61
카페,담양 서가앤디저트 (한옥 카페),전라남도 담양군 담양읍 향교길 6-1
카페,목포 코롬바스빵집 (제과 카페),전라남도 목포시 영산로75번길 7
카페,구례 무우루 (기와집 카페),전라남도 구례군 토지면 토지문학로 34
카페,나주 느티나무카페 (빛가람호수뷰),전라남도 나주시 빛가람로 667
카페,여수 로스터리 카페 라피크,전라남도 여수시 돌산읍 무술목길 142-1
카페,담양 카페진우네,전라남도 담양군 담양읍 객사리 213
카페,순천 선암사 토담카페 (전통찻집),전라남도 순천시 승주읍 선암사길 450
문화공간,여수 아쿠아플라넷 여수,전라남도 여수시 오동도로 61-11
문화공간,담양 딜라이트 담양 (미디어아트),전라남도 담양군 담양읍 죽향문화로 35
문화공간,목포 자연사박물관,전라남도 목포시 남농로 135
문화공간,순천 뿌리깊은나무박물관,전라남도 순천시 낙안면 민속마을길 45
문화공간,구례 섬진강 수달생태공원,전라남도 구례군 간전면 섬진강로 3254
문화공간,나주 국립나주박물관,전라남도 나주시 반남면 고분로 747
문화공간,여수 예술랜드 (미디어아트·조각공원),전라남도 여수시 돌산읍 무술목길 142-1
문화공간,담양 담빛예술창고,전라남도 담양군 담양읍 객사리 242-1
문화공간,목포 근대역사관 1관,전라남도 목포시 영산로29번길 6
문화공간,순천 드라마촬영장,전라남도 순천시 비례골길 37
문화공간,나주목 관아와 향교,전라남도 나주시 나주로 12
문화공간,광주 acc 국립아시아문화전당,전남광주 동구 광산동 113
문화공간,광주시립미술관,전남광주 북구 하서로 52
